Tariff,Tariff Category,Transmission Zone,Supply Voltage,Code,Matrix Code,High-Peak [c/kWh],High-Standard [c/kWh],High-Off Peak [c/kWh],Low-Peak [c/kWh],Low-Standard [c/kWh],Low-Off Peak [c/kWh],High Demand [c/kWh],Low Demand [c/kWh],High Demand [R/kVA/m],Low Demand [R/kVA/m],Transmission Network Charges [R/kVA/m],Network Access Charges [R/kVA/m]
Megaflex,Non-Local Authority,[0 - 300km],< 500V,Megaflex_Non-Local Authority_[0 - 300km]_< 500V,Me01N,689.901156,209.899332,114.611484,225.908412,155.874324,99.38031,0,0,0,0,19.740774,0
Megaflex,Non-Local Authority,[0 - 300km],≥ 500V & < 66kV,Megaflex_Non-Local Authority_[0 - 300km]_≥ 500V & < 66kV,Me02N,679.078116,205.716678,111.736614,221.489004,152.469576,96.73092,0,0,0,0,18.0384,0
Megaflex,Non-Local Authority,[0 - 300km],≥ 66kV & ≤ 132kV,Megaflex_Non-Local Authority_[0 - 300km]_≥ 66kV & ≤ 132kV,Me03N,657.567324,199.177758,108.185304,214.521672,147.599208,93.698214,0,0,0,0,17.553618,0
Megaflex,Non-Local Authority,[0 - 300km],> 132kV,Megaflex_Non-Local Authority_[0 - 300km]_> 132kV,Me04N,619.73178,187.700826,101.962056,202.221738,139.143708,88.286694,0,0,0,0,22.20978,0
Megaflex,Non-Local Authority,[301 - 600km],< 500V,Megaflex_Non-Local Authority_[301 - 600km]_< 500V,Me11N,695.515608,210.733608,114.419826,226.900524,156.223818,99.109734,0,0,0,0,19.876062,0
Megaflex,Non-Local Authority,[301 - 600km],≥ 500V & < 66kV,Megaflex_Non-Local Authority_[301 - 600km]_≥ 500V & < 66kV,Me12N,685.85379,207.745998,112.818918,223.766352,153.969018,97.677936,0,0,0,0,18.196236,0
Megaflex,Non-Local Authority,[301 - 600km],≥ 66kV & ≤ 132kV,Megaflex_Non-Local Authority_[301 - 600km]_≥ 66kV & ≤ 132kV,Me13N,664.027326,201.12816,109.18869,216.596088,149.076102,94.58886,0,0,0,0,17.688906,0
Megaflex,Non-Local Authority,[301 - 600km],> 132kV,Megaflex_Non-Local Authority_[301 - 600km]_> 132kV,Me14N,625.943754,189.651228,102.920346,204.160866,140.485314,89.109696,0,0,0,0,22.390164,0
Megaflex,Non-Local Authority,[601 - 900km],< 500V,Megaflex_Non-Local Authority_[601 - 900km]_< 500V,Me21N,702.449118,212.79675,115.524678,229.14405,157.734534,100.034202,0,0,0,0,20.112816,0
Megaflex,Non-Local Authority,[601 - 900km],≥ 500V & < 66kV,Megaflex_Non-Local Authority_[601 - 900km]_≥ 500V & < 66kV,Me22N,692.742204,209.888058,113.957592,225.976056,155.547378,98.670048,0,0,0,0,18.365346,0
Megaflex,Non-Local Authority,[601 - 900km],≥ 66kV & ≤ 132kV,Megaflex_Non-Local Authority_[601 - 900km]_≥ 66kV & ≤ 132kV,Me23N,670.814274,203.21385,110.327364,218.805792,150.631914,95.569698,0,0,0,0,17.790372,0
Megaflex,Non-Local Authority,[601 - 900km],> 132kV,Megaflex_Non-Local Authority_[601 - 900km]_> 132kV,Me24N,632.24592,191.48889,104.05902,206.224008,141.928386,90.067986,0,0,0,0,22.728384,0
Megaflex,Non-Local Authority,[> 900km],< 500V,Megaflex_Non-Local Authority_[> 900km]_< 500V,Me31N,709.517916,215.017728,116.697174,231.477768,159.290346,101.082684,0,0,0,0,20.23683,0
Megaflex,Non-Local Authority,[> 900km],≥ 500V & < 66kV,Megaflex_Non-Local Authority_[> 900km]_≥ 500V & < 66kV,Me32N,699.630618,211.917378,115.039896,228.18576,157.024272,99.639612,0,0,0,0,18.579552,0
Megaflex,Non-Local Authority,[> 900km],≥ 66kV & ≤ 132kV,Megaflex_Non-Local Authority_[> 900km]_≥ 66kV & ≤ 132kV,Me33N,677.533578,205.220622,111.432216,220.992948,152.108808,96.494166,0,0,0,0,17.959482,0
Megaflex,Non-Local Authority,[> 900km],> 132kV,Megaflex_Non-Local Authority_[> 900km]_> 132kV,Me34N,638.401524,193.473114,105.118776,208.377342,143.472924,91.060098,0,0,0,0,22.88622,0
Megaflex,Local Authority,[0 - 300km],< 500V,Megaflex_Local Authority_[0 - 300km]_< 500V,Me01Y,705.82446,214.780808,117.197696,231.066924,159.477032,101.646292,0,0,0,0,19.670244,0
Megaflex,Local Authority,[0 - 300km],≥ 500V & < 66kV,Megaflex_Local Authority_[0 - 300km]_≥ 500V & < 66kV,Me02Y,694.69246,210.483856,114.32564,226.614124,155.95932,98.974612,0,0,0,0,17.944784,0
Megaflex,Local Authority,[0 - 300km],≥ 66kV & ≤ 132kV,Megaflex_Local Authority_[0 - 300km]_≥ 66kV & ≤ 132kV,Me03Y,672.784684,203.804656,110.685476,219.478512,151.094636,95.824256,0,0,0,0,17.454976,0
Megaflex,Local Authority,[0 - 300km],> 132kV,Megaflex_Local Authority_[0 - 300km]_> 132kV,Me04Y,634.045324,192.071528,104.295708,206.83256,142.344884,90.291652,0,0,0,0,22.108152,0
Megaflex,Local Authority,[301 - 600km],< 500V,Megaflex_Local Authority_[301 - 600km]_< 500V,Me11Y,711.579704,215.548916,117.030716,232.124464,159.79986,101.390256,0,0,0,0,19.748168,0
Megaflex,Local Authority,[301 - 600km],≥ 500V & < 66kV,Megaflex_Local Authority_[301 - 600km]_≥ 500V & < 66kV,Me12Y,701.64996,212.554408,115.416576,228.92958,157.540064,99.931964,0,0,0,0,18.156292,0
Megaflex,Local Authority,[301 - 600km],≥ 66kV & ≤ 132kV,Megaflex_Local Authority_[301 - 600km]_≥ 66kV & ≤ 132kV,Me13Y,679.363696,205.786152,111.754148,221.626988,152.5084,96.73708,0,0,0,0,17.599692,0
Megaflex,Local Authority,[301 - 600km],> 132kV,Megaflex_Local Authority_[301 - 600km]_> 132kV,Me14Y,640.379432,194.041892,105.342116,208.858584,143.803176,91.182212,0,0,0,0,22.31966,0
Megaflex,Local Authority,[601 - 900km],< 500V,Megaflex_Local Authority_[601 - 900km]_< 500V,Me21Y,718.68192,217.719656,118.199576,234.406524,161.380604,102.381004,0,0,0,0,20.015336,0
Megaflex,Local Authority,[601 - 900km],≥ 500V & < 66kV,Megaflex_Local Authority_[601 - 900km]_≥ 500V & < 66kV,Me22Y,708.71878,214.669488,116.596568,231.233904,159.042884,100.944976,0,0,0,0,18.25648,0
Megaflex,Local Authority,[601 - 900km],≥ 66kV & ≤ 132kV,Megaflex_Local Authority_[601 - 900km]_≥ 66kV & ≤ 132kV,Me23Y,686.2878,207.856704,112.856216,223.797728,154.022352,97.6833,0,0,0,0,17.744408,0
Megaflex,Local Authority,[601 - 900km],> 132kV,Megaflex_Local Authority_[601 - 900km]_> 132kV,Me24Y,646.802596,195.97886,106.399656,211.018192,145.21694,92.1173,0,0,0,0,22.620224,0
Megaflex,Local Authority,[> 900km],< 500V,Megaflex_Local Authority_[> 900km]_< 500V,Me31Y,725.873192,219.923792,119.424096,236.822168,162.961348,103.405148,0,0,0,0,20.104392,0
Megaflex,Local Authority,[> 900km],≥ 500V & < 66kV,Megaflex_Local Authority_[> 900km]_≥ 500V & < 66kV,Me32Y,715.798732,216.817964,117.765428,233.471436,160.69042,101.902328,0,0,0,0,18.467988,0
Megaflex,Local Authority,[> 900km],≥ 66kV & ≤ 132kV,Megaflex_Local Authority_[> 900km]_≥ 66kV & ≤ 132kV,Me33Y,693.18964,210.00518,114.036208,226.113184,155.591964,98.707444,0,0,0,0,17.86686,0
Megaflex,Local Authority,[> 900km],> 132kV,Megaflex_Local Authority_[> 900km]_> 132kV,Me34Y,653.1701,197.949224,107.59078,213.1778,146.730892,93.130312,0,0,0,0,22.76494,0
Miniflex,Non-Local Authority,[0 - 300km],< 500V,Miniflex_Non-Local Authority_[0 - 300km]_< 500V,Mi01N,689.901156,209.899332,114.611484,225.908412,155.874324,99.38031,0,0,0,0,0,58.872828
Miniflex,Non-Local Authority,[0 - 300km],≥ 500V & < 66kV,Miniflex_Non-Local Authority_[0 - 300km]_≥ 500V & < 66kV,Mi02N,679.078116,205.716678,111.736614,221.489004,152.469576,96.73092,0,0,0,0,0,53.968638
Miniflex,Non-Local Authority,[0 - 300km],≥ 66kV & ≤ 132kV,Miniflex_Non-Local Authority_[0 - 300km]_≥ 66kV & ≤ 132kV,Mi03N,657.567324,199.177758,108.185304,214.521672,147.599208,93.698214,0,0,0,0,0,30.315786
Miniflex,Non-Local Authority,[0 - 300km],> 132kV,Miniflex_Non-Local Authority_[0 - 300km]_> 132kV,Mi04N,619.73178,187.700826,101.962056,202.221738,139.143708,88.286694,0,0,0,0,0,22.085766
Miniflex,Non-Local Authority,[301 - 600km],< 500V,Miniflex_Non-Local Authority_[301 - 600km]_< 500V,Mi11N,695.515608,210.733608,114.419826,226.900524,156.223818,99.109734,0,0,0,0,0,59.030664
Miniflex,Non-Local Authority,[301 - 600km],≥ 500V & < 66kV,Miniflex_Non-Local Authority_[301 - 600km]_≥ 500V & < 66kV,Mi12N,685.85379,207.745998,112.818918,223.766352,153.969018,97.677936,0,0,0,0,0,54.149022
Miniflex,Non-Local Authority,[301 - 600km],≥ 66kV & ≤ 132kV,Miniflex_Non-Local Authority_[301 - 600km]_≥ 66kV & ≤ 132kV,Mi13N,664.027326,201.12816,109.18869,216.596088,149.076102,94.58886,0,0,0,0,0,30.428526
Miniflex,Non-Local Authority,[301 - 600km],> 132kV,Miniflex_Non-Local Authority_[301 - 600km]_> 132kV,Mi14N,625.943754,189.651228,102.920346,204.160866,140.485314,89.109696,0,0,0,0,0,22.333794
Miniflex,Non-Local Authority,[601 - 900km],< 500V,Miniflex_Non-Local Authority_[601 - 900km]_< 500V,Mi21N,702.449118,212.79675,115.524678,229.14405,157.734534,100.034202,0,0,0,0,0,59.323788
Miniflex,Non-Local Authority,[601 - 900km],≥ 500V & < 66kV,Miniflex_Non-Local Authority_[601 - 900km]_≥ 500V & < 66kV,Mi22N,692.742204,209.888058,113.957592,225.976056,155.547378,98.670048,0,0,0,0,0,54.306858
Miniflex,Non-Local Authority,[601 - 900km],≥ 66kV & ≤ 132kV,Miniflex_Non-Local Authority_[601 - 900km]_≥ 66kV & ≤ 132kV,Mi23N,670.814274,203.21385,110.327364,218.805792,150.631914,95.569698,0,0,0,0,0,30.620184
Miniflex,Non-Local Authority,[601 - 900km],> 132kV,Miniflex_Non-Local Authority_[601 - 900km]_> 132kV,Mi24N,632.24592,191.48889,104.05902,206.224008,141.928386,90.067986,0,0,0,0,0,22.649466
Miniflex,Non-Local Authority,[> 900km],< 500V,Miniflex_Non-Local Authority_[> 900km]_< 500V,Mi31N,709.517916,215.017728,116.697174,231.477768,159.290346,101.082684,0,0,0,0,0,59.35761
Miniflex,Non-Local Authority,[> 900km],≥ 500V & < 66kV,Miniflex_Non-Local Authority_[> 900km]_≥ 500V & < 66kV,Mi32N,699.630618,211.917378,115.039896,228.18576,157.024272,99.639612,0,0,0,0,0,54.487242
Miniflex,Non-Local Authority,[> 900km],≥ 66kV & ≤ 132kV,Miniflex_Non-Local Authority_[> 900km]_≥ 66kV & ≤ 132kV,Mi33N,677.533578,205.220622,111.432216,220.992948,152.108808,96.494166,0,0,0,0,0,30.732924
Miniflex,Non-Local Authority,[> 900km],> 132kV,Miniflex_Non-Local Authority_[> 900km]_> 132kV,Mi34N,638.401524,193.473114,105.118776,208.377342,143.472924,91.060098,0,0,0,0,0,22.818576
Miniflex,Local Authority,[0 - 300km],< 500V,Miniflex_Local Authority_[0 - 300km]_< 500V,Mi01Y,705.82446,214.780808,117.197696,231.066924,159.477032,101.646292,0,0,0,0,0,58.866016
Miniflex,Local Authority,[0 - 300km],≥ 500V & < 66kV,Miniflex_Local Authority_[0 - 300km]_≥ 500V & < 66kV,Mi02Y,694.69246,210.483856,114.32564,226.614124,155.95932,98.974612,0,0,0,0,0,53.890012
Miniflex,Local Authority,[0 - 300km],≥ 66kV & ≤ 132kV,Miniflex_Local Authority_[0 - 300km]_≥ 66kV & ≤ 132kV,Mi03Y,672.784684,203.804656,110.685476,219.478512,151.094636,95.824256,0,0,0,0,0,30.267908
Miniflex,Local Authority,[0 - 300km],> 132kV,Miniflex_Local Authority_[0 - 300km]_> 132kV,Mi04Y,634.045324,192.071528,104.295708,206.83256,142.344884,90.291652,0,0,0,0,0,22.108152
Miniflex,Local Authority,[301 - 600km],< 500V,Miniflex_Local Authority_[301 - 600km]_< 500V,Mi11Y,711.579704,215.548916,117.030716,232.124464,159.79986,101.390256,0,0,0,0,0,58.966204
Miniflex,Local Authority,[301 - 600km],≥ 500V & < 66kV,Miniflex_Local Authority_[301 - 600km]_≥ 500V & < 66kV,Mi12Y,701.64996,212.554408,115.416576,228.92958,157.540064,99.931964,0,0,0,0,0,54.123784
Miniflex,Local Authority,[301 - 600km],≥ 66kV & ≤ 132kV,Miniflex_Local Authority_[301 - 600km]_≥ 66kV & ≤ 132kV,Mi13Y,679.363696,205.786152,111.754148,221.626988,152.5084,96.73708,0,0,0,0,0,30.423756
Miniflex,Local Authority,[301 - 600km],> 132kV,Miniflex_Local Authority_[301 - 600km]_> 132kV,Mi14Y,640.379432,194.041892,105.342116,208.858584,143.803176,91.182212,0,0,0,0,0,22.31966
Miniflex,Local Authority,[601 - 900km],< 500V,Miniflex_Local Authority_[601 - 900km]_< 500V,Mi21Y,718.68192,217.719656,118.199576,234.406524,161.380604,102.381004,0,0,0,0,0,59.2779
Miniflex,Local Authority,[601 - 900km],≥ 500V & < 66kV,Miniflex_Local Authority_[601 - 900km]_≥ 500V & < 66kV,Mi22Y,708.71878,214.669488,116.596568,231.233904,159.042884,100.944976,0,0,0,0,0,54.257368
Miniflex,Local Authority,[601 - 900km],≥ 66kV & ≤ 132kV,Miniflex_Local Authority_[601 - 900km]_≥ 66kV & ≤ 132kV,Mi23Y,686.2878,207.856704,112.856216,223.797728,154.022352,97.6833,0,0,0,0,0,30.579604
Miniflex,Local Authority,[601 - 900km],> 132kV,Miniflex_Local Authority_[601 - 900km]_> 132kV,Mi24Y,646.802596,195.97886,106.399656,211.018192,145.21694,92.1173,0,0,0,0,0,22.620224
Miniflex,Local Authority,[> 900km],< 500V,Miniflex_Local Authority_[> 900km]_< 500V,Mi31Y,725.873192,219.923792,119.424096,236.822168,162.961348,103.405148,0,0,0,0,0,59.300164
Miniflex,Local Authority,[> 900km],≥ 500V & < 66kV,Miniflex_Local Authority_[> 900km]_≥ 500V & < 66kV,Mi32Y,715.798732,216.817964,117.765428,233.471436,160.69042,101.902328,0,0,0,0,0,54.49114
Miniflex,Local Authority,[> 900km],≥ 66kV & ≤ 132kV,Miniflex_Local Authority_[> 900km]_≥ 66kV & ≤ 132kV,Mi33Y,693.18964,210.00518,114.036208,226.113184,155.591964,98.707444,0,0,0,0,0,30.690924
Miniflex,Local Authority,[> 900km],> 132kV,Miniflex_Local Authority_[> 900km]_> 132kV,Mi34Y,653.1701,197.949224,107.59078,213.1778,146.730892,93.130312,0,0,0,0,0,22.76494
Ruraflex,Non-Local Authority,[0 - 300km],< 500V,Ruraflex_Non-Local Authority_[0 - 300km]_< 500V,Ru01N,714.331914,216.40443,117.542724,233.03358,160.350102,101.736576,0,0,0,0,0,41.26284
Ruraflex,Non-Local Authority,[0 - 300km],≥ 500V & < 66kV,Ruraflex_Non-Local Authority_[0 - 300km]_≥ 500V & < 66kV,Ru02N,707.27439,214.284918,116.336406,230.733684,158.760468,100.67682,0,0,0,0,0,37.812996
Ruraflex,Non-Local Authority,[0 - 300km],≥ 66kV & ≤ 132kV,Ruraflex_Non-Local Authority_[0 - 300km]_≥ 66kV & ≤ 132kV,Ru03N,0,0,0,0,0,0,0,0,0,0,0,0
Ruraflex,Non-Local Authority,[0 - 300km],> 132kV,Ruraflex_Non-Local Authority_[0 - 300km]_> 132kV,Ru04N,0,0,0,0,0,0,0,0,0,0,0,0
Ruraflex,Non-Local Authority,[301 - 600km],< 500V,Ruraflex_Non-Local Authority_[301 - 600km]_< 500V,Ru11N,721.513452,218.580312,118.703946,235.356024,161.996106,102.785058,0,0,0,0,0,41.386854
Ruraflex,Non-Local Authority,[301 - 600km],≥ 500V & < 66kV,Ruraflex_Non-Local Authority_[301 - 600km]_≥ 500V & < 66kV,Ru12N,714.32064,216.381882,117.542724,233.03358,160.338828,101.736576,0,0,0,0,0,38.027202
Ruraflex,Non-Local Authority,[301 - 600km],≥ 66kV & ≤ 132kV,Ruraflex_Non-Local Authority_[301 - 600km]_≥ 66kV & ≤ 132kV,Ru13N,0,0,0,0,0,0,0,0,0,0,0,0
Ruraflex,Non-Local Authority,[301 - 600km],> 132kV,Ruraflex_Non-Local Authority_[301 - 600km]_> 132kV,Ru14N,0,0,0,0,0,0,0,0,0,0,0,0
Ruraflex,Non-Local Authority,[601 - 900km],< 500V,Ruraflex_Non-Local Authority_[601 - 900km]_< 500V,Ru21N,728.728812,220.778742,119.876442,237.723564,163.58574,103.822266,0,0,0,0,0,41.589786
Ruraflex,Non-Local Authority,[601 - 900km],≥ 500V & < 66kV,Ruraflex_Non-Local Authority_[601 - 900km]_≥ 500V & < 66kV,Ru22N,721.457082,218.512668,118.703946,235.356024,161.996106,102.785058,0,0,0,0,0,38.21886
Ruraflex,Non-Local Authority,[601 - 900km],≥ 66kV & ≤ 132kV,Ruraflex_Non-Local Authority_[601 - 900km]_≥ 66kV & ≤ 132kV,Ru23N,0,0,0,0,0,0,0,0,0,0,0,0
Ruraflex,Non-Local Authority,[601 - 900km],> 132kV,Ruraflex_Non-Local Authority_[601 - 900km]_> 132kV,Ru24N,0,0,0,0,0,0,0,0,0,0,0,0
Ruraflex,Non-Local Authority,[> 900km],< 500V,Ruraflex_Non-Local Authority_[> 900km]_< 500V,Ru31N,736.000542,222.954624,121.060212,240.000912,165.22047,104.825652,0,0,0,0,0,41.781444
Ruraflex,Non-Local Authority,[> 900km],≥ 500V & < 66kV,Ruraflex_Non-Local Authority_[> 900km]_≥ 500V & < 66kV,Ru32N,728.706264,220.778742,119.876442,237.723564,163.58574,103.822266,0,0,0,0,0,38.230134
Ruraflex,Non-Local Authority,[> 900km],≥ 66kV & ≤ 132kV,Ruraflex_Non-Local Authority_[> 900km]_≥ 66kV & ≤ 132kV,Ru33N,0,0,0,0,0,0,0,0,0,0,0,0
Ruraflex,Non-Local Authority,[> 900km],> 132kV,Ruraflex_Non-Local Authority_[> 900km]_> 132kV,Ru34N,0,0,0,0,0,0,0,0,0,0,0,0
Ruraflex,Local Authority,[0 - 300km],< 500V,Ruraflex_Local Authority_[0 - 300km]_< 500V,Ru01Y,730.860328,221.382084,120.236732,238.425176,164.074548,104.0842,0,0,0,0,0,41.566888
Ruraflex,Local Authority,[0 - 300km],≥ 500V & < 66kV,Ruraflex_Local Authority_[0 - 300km]_≥ 500V & < 66kV,Ru02Y,723.591132,219.211344,119.034476,236.087456,162.41588,103.02666,0,0,0,0,0,38.138232
Ruraflex,Local Authority,[0 - 300km],≥ 66kV & ≤ 132kV,Ruraflex_Local Authority_[0 - 300km]_≥ 66kV & ≤ 132kV,Ru03Y,0,0,0,0,0,0,0,0,0,0,0,0
Ruraflex,Local Authority,[0 - 300km],> 132kV,Ruraflex_Local Authority_[0 - 300km]_> 132kV,Ru04Y,0,0,0,0,0,0,0,0,0,0,0,0
Ruraflex,Local Authority,[301 - 600km],< 500V,Ruraflex_Local Authority_[301 - 600km]_< 500V,Ru11Y,738.118392,223.64188,121.372196,240.762896,165.733216,105.164004,0,0,0,0,0,41.745
Ruraflex,Local Authority,[301 - 600km],≥ 500V & < 66kV,Ruraflex_Local Authority_[301 - 600km]_≥ 500V & < 66kV,Ru12Y,730.849196,221.337556,120.236732,238.425176,164.052284,104.0842,0,0,0,0,0,38.34974
Ruraflex,Local Authority,[301 - 600km],≥ 66kV & ≤ 132kV,Ruraflex_Local Authority_[301 - 600km]_≥ 66kV & ≤ 132kV,Ru13Y,0,0,0,0,0,0,0,0,0,0,0,0
Ruraflex,Local Authority,[301 - 600km],> 132kV,Ruraflex_Local Authority_[301 - 600km]_> 132kV,Ru14Y,0,0,0,0,0,0,0,0,0,0,0,0
Ruraflex,Local Authority,[601 - 900km],< 500V,Ruraflex_Local Authority_[601 - 900km]_< 500V,Ru21Y,745.521172,225.81262,122.641244,243.145144,167.325092,106.210412,0,0,0,0,0,41.96764
Ruraflex,Local Authority,[601 - 900km],≥ 500V & < 66kV,Ruraflex_Local Authority_[601 - 900km]_≥ 500V & < 66kV,Ru22Y,738.084996,223.597352,121.372196,240.762896,165.733216,105.164004,0,0,0,0,0,38.550116
Ruraflex,Local Authority,[601 - 900km],≥ 66kV & ≤ 132kV,Ruraflex_Local Authority_[601 - 900km]_≥ 66kV & ≤ 132kV,Ru23Y,0,0,0,0,0,0,0,0,0,0,0,0
Ruraflex,Local Authority,[601 - 900km],> 132kV,Ruraflex_Local Authority_[601 - 900km]_> 132kV,Ru24Y,0,0,0,0,0,0,0,0,0,0,0,0
Ruraflex,Local Authority,[> 900km],< 500V,Ruraflex_Local Authority_[> 900km]_< 500V,Ru31Y,752.979612,228.161472,123.78784,245.549656,169.061684,107.25682,0,0,0,0,0,42.090092
Ruraflex,Local Authority,[> 900km],≥ 500V & < 66kV,Ruraflex_Local Authority_[> 900km]_≥ 500V & < 66kV,Ru32Y,745.51004,225.81262,122.641244,243.145144,167.325092,106.210412,0,0,0,0,0,38.57238
